;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;17.03.2022;01.07.2018;01.07.2018;01.07.2018;01.07.2018;20.04.2018;18.03.2019;17.03.2020;16.03.2021;16.03.2022;13.04.2023;02.04.2024;31.03.2025;04.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
P/E;;0.00;0.00;4.69;-0.52;8.01;5.99;4.74;36.4;8.77;11.7;-0.96;5.09;4.01;3.51
P/FCF;;0.00;0.00;4.61;-6.34;17.9;13.6;-48.1;2.07;-2.85;-2.82;-4.53;63.6;4.80;4.89
P/S;;0.00;0.00;0.35;0.35;0.49;0.69;0.50;0.50;0.72;0.63;0.38;0.39;0.27;0.22
P/BV;0.00;0.00;0.00;0.31;0.82;1.00;1.25;0.82;0.86;0.80;0.72;0.79;0.81;0.54;0.43
EV/EBITDA;;2.35;1.63;2.57;4.59;4.13;3.91;3.25;2.40;5.05;7.19;5.24;4.33;3.22;2.50
Долг/EBITDA;;2.35;1.63;1.15;2.27;1.51;1.01;1.12;0.27;1.52;3.30;3.17;2.40;1.87;1.44
"Персонал, чел";;;;;"2 762";;;"2 496";"2 406";"1 426";"1 411";"1 461";"1 506";"1 527";
"Производительность труда, млн руб/чел/год";;;;;25.7;;;29.4;27.4;30.9;34.2;34.6;40.4;44.9;
"Расходы/чел/год, тыс.р";;;;;"1 550";;;"1 518";"1 433";"1 767";"2 013";"1 992";"2 490";"2 842";
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"Цена/мощность, руб/кВт";;;;"4 883";"5 223";"5 887";"7 345";"5 931";"6 535";"8 089";"9 835";"8 322";"8 856";"7 310";
"CAPEX/Выручка, %";;16%;12%;11%;11%;12%;13%;9%;14%;32%;37%;16%;16%;10%;11%
"IR рейтинг";;;;;;;;;;;3.9;;;;
"Качество фин.отчетности";;;;;;;;;;;4;;;;
"Презентации для инвесторов";;;;;;;;;;;4;;;;
"Присутствие на смартлабе";;;;;;;;;;;1;;;;
"Годовой отчет";;;;;;;;;;;5;;;;
"Сайт для инвесторов";;;;;;;;;;;4;;;;
"Календарь инвесторов";;;;;;;;;;;4;;;;
"Обратная связь";;;;;;;;;;;5;;;;
